x,y,labels,doc_top,topic
7.8648334,11.819203,21,24,6
3.6382837,7.189442,4,2,7
7.788321,11.497347,21,35,6
4.1860366,9.820179,53,3,2
9.934766,7.1705146,58,9,9
7.7746387,6.62343,73,1,1
3.329444,9.931521,53,0,0
3.344505,6.2051597,4,2,7
11.74069,9.197997,115,32,8
12.062174,7.0832205,92,42,19
3.3931234,10.529563,53,0,0
5.8713875,8.287807,89,34,3
5.189289,12.648814,11,39,10
3.5798247,6.589862,4,2,7
10.656499,5.734411,59,13,12
12.022034,9.069873,115,32,8
11.384758,10.080072,114,83,8
5.2029915,13.158437,10,97,10
3.4108772,7.19269,4,2,7
12.794395,6.9081283,61,56,5
6.306499,9.310636,81,15,3
12.396705,6.335392,54,21,5
5.3544364,6.3542485,38,5,13
8.450639,11.074523,17,84,6
7.1822257,6.869698,73,92,1
8.736811,5.863697,35,88,12
6.2349277,4.7290587,8,4,14
6.246146,9.294598,81,15,3
11.86592,6.5161605,76,28,5
9.275146,9.806493,86,17,11
6.426495,11.0703535,20,45,6
5.292278,12.7181635,11,39,10
10.500961,5.8860483,59,13,12
5.052682,11.617628,13,8,10
8.193176,6.2800174,73,1,1
11.768025,6.3541784,76,28,5
9.20753,5.8036637,27,98,9
6.951461,11.097917,21,24,6
5.344056,6.385895,38,5,13
8.655273,6.7113676,73,1,1
4.803109,9.778293,53,3,2
12.471416,9.332335,104,85,11
3.794772,4.70398,0,51,13
3.7596073,9.906232,53,0,0
6.514994,8.432483,79,3,2
12.184108,10.565171,109,17,11
11.766686,9.1159525,115,32,8
12.347559,8.935618,116,50,4
4.620541,9.756204,53,0,0
7.543427,6.774081,73,1,1
7.621715,6.4927773,73,1,1
5.177943,9.390324,53,0,0
3.236931,9.899831,53,0,0
7.5618577,6.3915124,73,1,1
7.7186737,6.60726,73,1,1
4.624253,10.264194,53,107,2
11.508302,10.203458,114,25,8
3.2570074,7.3871465,4,2,7
7.99019,6.7858467,73,1,1
12.067891,9.0211,115,32,8
7.3394866,8.191008,56,108,7
4.568811,12.150594,13,8,10
11.601295,7.4287705,93,18,5
4.7257648,13.040478,9,78,10
7.7773113,6.788949,73,1,1
3.582193,10.739708,53,0,0
7.9135714,9.356811,57,27,4
8.640939,6.9342475,73,1,1
9.639701,8.941134,98,3,2
3.7547736,10.760481,53,10,4
7.727122,10.052035,39,2,7
6.9094696,5.9986024,23,94,13
7.5908604,12.024348,21,71,6
5.019361,10.622241,34,20,3
5.982264,4.8097477,8,4,14
6.2198634,9.305988,81,15,3
3.80452,4.73204,0,51,13
4.264942,9.91317,53,0,0
13.339692,8.223308,62,12,5
5.321899,8.036009,89,0,0
5.972612,6.2832565,38,5,13
10.547403,5.7245,59,0,0
3.7189517,10.003007,53,57,0
7.0270777,9.896896,28,55,10
4.7009096,11.779557,13,8,10
7.797717,6.384455,73,1,1
7.976826,10.957495,18,115,6
8.337576,8.229531,84,70,15
12.620849,7.6707816,78,14,19
8.705433,6.7271843,73,1,1
7.0712476,8.24964,56,54,2
10.609849,7.390824,69,87,2
5.4972196,6.448946,38,5,13
13.178137,6.778523,61,33,5
5.253615,10.53163,34,99,0
4.78679,9.647686,53,0,0
6.460909,4.4488425,8,4,14
10.482991,6.5099154,63,26,9
3.5587223,10.257432,53,0,0
8.031618,6.2291117,73,1,1
11.962036,10.371173,113,43,11
5.363594,8.103792,89,48,3
5.207793,10.6340475,34,20,3
3.8531525,10.337715,53,0,0
4.1597404,12.150989,14,79,10
6.5810685,4.9327416,8,4,14
9.261977,7.1978593,44,80,6
10.548769,7.194726,69,29,17
4.3904862,8.27746,75,6,18
4.514509,12.026017,13,8,10
12.978805,6.254554,51,56,5
9.631484,9.124502,98,7,17
4.9222865,9.830516,53,0,0
12.256136,8.585297,107,18,5
4.247352,8.372072,75,6,18
11.614552,10.843073,106,23,11
12.369716,8.35493,107,62,16
5.626215,6.6949825,38,5,13
3.044869,9.816065,53,0,0
12.347371,6.6275396,54,21,5
4.1803575,9.974249,53,0,0
5.0547075,13.12981,10,97,10
7.321247,9.299487,29,87,2
11.627136,10.905058,106,23,11
